60	2026-04-23 19:57:48	1	0	15	0
            60	2026-04-23 21:01:26	1	0	15	0
            60	2026-04-23 22:01:34	1	0	15	0
            60	2026-04-23 23:01:29	1	0	15	0
            60	2026-04-24 00:01:21	1	0	15	0
            60	2026-04-24 01:01:25	1	0	15	0
            60	2026-04-24 02:01:34	1	0	15	0
            60	2026-04-24 03:01:27	1	0	15	0
            60	2026-04-24 04:01:28	1	0	15	0
            60	2026-04-24 05:01:28	1	0	15	0
            60	2026-04-24 06:01:32	1	0	15	0
            60	2026-04-24 07:01:30	1	0	15	0
            60	2026-04-24 08:01:20	1	0	15	0


            60	2026-04-25 19:56:13	1	0	15	0
            60	2026-04-25 21:01:19	1	0	15	0
            60	2026-04-25 22:01:17	1	0	15	0
            60	2026-04-25 23:01:18	1	0	15	0
            60	2026-04-26 00:01:25	1	0	15	0
            60	2026-04-26 01:01:20	1	0	15	0
            60	2026-04-26 02:01:18	1	0	15	0
            60	2026-04-26 03:01:21	1	0	15	0
            60	2026-04-26 04:01:19	1	0	15	0
            60	2026-04-26 05:01:23	1	0	15	0
            60	2026-04-26 06:01:34	1	0	15	0
            60	2026-04-26 07:01:24	1	0	15	0
            60	2026-04-26 08:00:58	1	0	15	0
            60	2026-04-26 08:01:07	1	0	15	0


            60	2026-04-27 19:55:16	1	0	15	0
            60	2026-04-27 21:01:32	1	0	15	0
            60	2026-04-27 22:01:40	1	0	15	0
            60	2026-04-27 23:01:45	1	0	15	0
            60	2026-04-28 00:01:45	1	0	15	0
            60	2026-04-28 01:01:28	1	0	15	0
            60	2026-04-28 02:01:48	1	0	15	0
            60	2026-04-28 03:01:40	1	0	15	0
            60	2026-04-28 04:00:42	1	0	15	0
            60	2026-04-28 05:01:43	1	0	15	0
            60	2026-04-28 06:01:50	1	0	15	0
            60	2026-04-28 07:01:42	1	0	15	0
            60	2026-04-28 08:01:53	1	0	15	0
            60	2026-04-29 19:55:35	1	0	15	0
            60	2026-04-29 21:01:23	1	0	15	0
            60	2026-04-29 22:01:45	1	0	15	0
            60	2026-04-29 23:01:11	1	0	15	0
            60	2026-04-30 00:01:43	1	0	15	0
            60	2026-04-30 01:00:40	1	0	15	0
            60	2026-04-30 02:01:44	1	0	15	0
            60	2026-04-30 03:01:46	1	0	15	0
            60	2026-04-30 04:01:47	1	0	15	0
            60	2026-04-30 05:01:28	1	0	15	0
            60	2026-04-30 06:01:48	1	0	15	0
            60	2026-04-30 07:01:46	1	0	15	0
            60	2026-04-30 08:01:48	1	0	15	0
